metric,value
followup_weeks,12
confidence_level_percent,95
confidence_level_fraction,0.95
joined_patients,240
missing_outcome_count,18
missing_outcome_percent,7.5
complete_cases,222
treated_complete,123
control_complete,99
primary_treatment_estimate,-5.053125081414
primary_treatment_se,0.208937255169
primary_treatment_ci_low,-5.464963657222
primary_treatment_ci_high,-4.641286505606
primary_treatment_p_value,3.892755486486e-63
primary_r_squared,0.884775704178
primary_rmse,1.504831839489
interaction_estimate,-1.234581796682
interaction_se,0.448571929392
interaction_ci_low,-2.118790583933
interaction_ci_high,-0.350373009432
interaction_p_value,0.006429187654
interaction_r_squared,0.880177225472
interaction_rmse,1.534566191758
