metric,value
generated_rows,240
complete_cases,222
missing_outcomes,18
treated_complete,123
control_complete,99
primary_treatment_estimate,-5.05312508141
primary_treatment_se,0.208937255169
primary_treatment_ci_low,-5.46496365722
primary_treatment_ci_high,-4.64128650561
primary_treatment_p_value,0
primary_r_squared,0.884775704178
primary_rmse,1.53270146342
interaction_estimate,-1.23458179668
interaction_se,0.448571929392
interaction_ci_low,-2.11879058393
interaction_ci_high,-0.350373009431
interaction_p_value,0.00642918765373
