x,y
0.00,1.4104
0.50,3.1790
1.00,4.4209
1.50,5.8897
2.00,7.1745
2.50,8.9253
3.00,10.8892
3.50,12.1485
4.00,13.8629
4.50,15.0871
5.00,16.6382
5.50,18.0649
6.00,18.9169
6.50,21.2993
7.00,22.6772
7.50,24.1746
8.00,24.9080
8.50,26.3896
9.00,28.1886
9.50,29.8361
10.00,31.6069
10.50,32.9839
11.00,34.6823
11.50,35.7752
12.00,37.6080
12.50,39.1380
13.00,40.2686
13.50,42.6011
14.00,43.6948
14.50,45.4190
15.00,46.2829
15.50,47.7412
16.00,49.3796
16.50,50.9628
17.00,52.7212
17.50,54.0869
18.00,55.3434
18.50,56.6651
19.00,58.3178
19.50,60.4273
